ID,CICLO,CÓDIGO,NOMBRE DE LA ASIGNATURA,PRE REQUISITO,MODALIDAD,CRÉDITOS
1,PRIMER CICLO,C0090,FILOSOFÍA,NINGUNO,PRESENCIAL,3
2,PRIMER CICLO,C0613,COMUNICACIÓN Y REDACCIÓN I,NINGUNO,PRESENCIAL,3
3,PRIMER CICLO,C0659,CÁLCULO DIFERENCIAL PARA INGENIERÍA,NINGUNO,PRESENCIAL,4
4,PRIMER CICLO,C0737,ÁLGEBRA MATRICIAL Y GEOMETRÍA ANALÍTICA,NINGUNO,PRESENCIAL,3
5,PRIMER CICLO,C0201,QUÍMICA GENERAL,NINGUNO,PRESENCIAL,5
6,PRIMER CICLO,C8189,INTRODUCCIÓN A LA INGENIERÍA INFORMÁTICA,NINGUNO,PRESENCIAL,2
7,SEGUNDO CICLO,C0614,COMUNICACIÓN Y REDACCIÓN II,COMUNICACIÓN Y REDACCIÓN I,PRESENCIAL,3
8,SEGUNDO CICLO,C0657,CÁLCULO INTEGRAL PARA INGENIERÍA,CALCULO DIFERENCIAL PARA INGENIERÍA,PRESENCIAL,4
9,SEGUNDO CICLO,C0622,FÍSICA PARA INGENIERÍA I,NINGUNO,PRESENCIAL,5
10,SEGUNDO CICLO,C8190,BIOLOGÍA PARA INGENIERÍA,NINGUNO,PRESENCIAL,5
11,SEGUNDO CICLO,C8191,PROCESOS DE INNOVACIÓN EN INGENIERÍA,NINGUNO,PRESENCIAL,2
12,SEGUNDO CICLO,C0667,FUNDAMENTOS DE PROGRAMACIÓN,NINGUNO,PRESENCIAL,3
13,TERCER CICLO,C0741,CÁLCULO VECTORIAL PARA INGENIERÍA,CALCULO INTEGRAL,PRESENCIAL,4
14,TERCER CICLO,C0742,FÍSICA PARA INGENIERÍA II,FISICA PARA INGENIERÍA I ,PRESENCIAL,5
15,TERCER CICLO,C0208,QUÍMICA ORGÁNICA,QUÍMICA GENERAL,PRESENCIAL,5
16,TERCER CICLO,C0513,CIENCIAS SOCIALES,COMUNICACIÓN Y REDACCIÓN III,PRESENCIAL,2
17,TERCER CICLO,C8274,PROGRAMACIÓN ORIENTADA A OBJETOS,FUNDAMENTOS DE PROGRAMACIÓN,SEMIPRESENCIAL,3
18,TERCER CICLO,C8275,ESTRUCTURAS DISCRETAS,NINGUNO,PRESENCIAL,3
19,CUARTO CICLO,C0743,ECUACIONES DIFERENCIALES,CALCULO VECTORIAL ,PRESENCIAL,4
20,CUARTO CICLO,C1127,PROGRAMACIÓN AVANZADA,FNDAMENTOS DE PROGRAMACIÓN,NO PRESENCIAL,3
21,CUARTO CICLO,C0745,FÍSICA PARA INGENIERÍA III,FISICA PARA INGENIERÍA II,PRESENCIAL,5
22,CUARTO CICLO,C0503,ESTADÍSTICA Y PROBABILIDADES,CALCULO INTEGRAL,PRESENCIAL,4
23,CUARTO CICLO,C8276,ORGANIZACIÓN Y ARQUITECTURA DE COMPUTADORES,40 CRÉDITOS APROBADOS,SEMIPRESENCIAL,3
24,CUARTO CICLO,C8277,ALGORITMOS Y ESTRUCTURA DE DATOS,ESTRUCTURAS DISCRETAS,NO PRESENCIAL,3
25,QUINTO CICLO,C1324,FUNDAMENTOS DE DISEÑO,PROCESOS DE INNOVACIÓN,PRESENCIAL,3
26,QUINTO CICLO,C8425,INGLÉS 1,NINGUNO,PRESENCIAL,2
27,QUINTO CICLO,C8278,ANÁLISIS Y DISEÑO DE ALGORITMOS,ALGORITMOS Y ESTRUCTURA DE DATOS,PRESENCIAL,4
28,QUINTO CICLO,C8279,SISTEMAS OPERATIVOS,ORGANIZACIÓN Y ARQUITECTURA DE COMPUTADORES,SEMIPRESENCIAL,4
29,QUINTO CICLO,C8280,COMUNICACIÓN DE DATOS Y REDES,40 CRÉDITOS APROBADOS,PRESENCIAL,4
30,QUINTO CICLO,C8281,INTRODUCCIÓN A MACHINE LEARNING,ESTADÍSTICA Y PROBABILIDADES,NO PRESENCIAL,4
31,QUINTO CICLO,C8430,ACTIVIDAD COMPLEMENTARIA I,NINGUNO ,PRESENCIAL,1
32,SEXTO CICLO,C1330,PROYECTOS DE INGENIERÍA 1,FUNDAMENTOS DE DISEÑO,SEMIPRESENCIAL,5
33,SEXTO CICLO,C8282,BASES DE DATOS,ALGORITMOS Y ESTRUCTURA DE DATOS,SEMIPRESENCIAL,4
34,SEXTO CICLO,C8283,IMPLEMENTACIÓN DE LENGUAJES DE PROGRAMACIÓN,SISTEMAS OPERATIVOS,SEMIPRESENCIAL,4
35,SEXTO CICLO,C8284,CRIPTOGRAFÍA Y SEGURIDAD INFORMÁTICA,SISTEMAS OPERATIVOS,PRESENCIAL,3
36,SEXTO CICLO,C0359,SISTEMAS DE INFORMACIÓN,80 CRÉDITOS APROBADOS,PRESENCIAL,3
37,SEXTO CICLO,C8445,ASIGNATURA ELECTIVA I,NINGUNO,PRESENCIAL,3
38,SEPTIMO CICLO,C1335,DESARROLLO PROFESIONAL 1,120 CRÉDITOS APROBADOS,NO PRESENCIAL,2
39,SEPTIMO CICLO,C8426,INGLÉS 2,INGLÉS I,PRESENCIAL,2
40,SEPTIMO CICLO,C8285,HUMAN-CENTERED DESIGN,SISTEMAS DE INFORMACIÓN,PRESENCIAL,4
41,SEPTIMO CICLO,C8286,COMPUTACIÓN PARALELA Y DISTRIBUIDA,SISTEMAS OPERATIVOS,PRESENCIAL,4
42,SEPTIMO CICLO,C8287,INGENIERÍA DE SOFTWARE,SISTEMAS DE INFORMACIÓN ,PRESENCIAL,4
43,SEPTIMO CICLO,C8446,ASIGNATURA ELECTIVA II,NINGUNO,PRESENCIAL,3
44,SEPTIMO CICLO,C8431,ACTIVIDAD COMPLEMENTARIA II,NINGUNO,PRESENCIAL,1
45,OCTAVO CICLO,C1343,PROYECTOS DE INGENIERÍA 2,PROYECTOS DE INGENIERÍA I,SEMIPRESENCIAL,5
46,OCTAVO CICLO,C1342,DESARROLLO PROFESIONAL 2,DESARROLLO PROFESIONAL I,NO PRESENCIAL,2
47,OCTAVO CICLO,C8427,INGLÉS 3,INGLÉS II,PRESENCIAL,2
48,OCTAVO CICLO,C8288,DESARROLLO DE SISTEMAS WEB,INGENIERÍA DE SOFTWARE,PRESENCIAL,4
49,OCTAVO CICLO,C8289,VISUALIZACIÓN,HUMAN CENTERED DESIGN,PRESENCIAL,4
50,OCTAVO CICLO,C8453,ASIGNATURA ELECTIVA III,NINGUNO,PRESENCIAL,3
51,NOVENO CICLO,C8290,DISEÑO DE NEGOCIOS EN INGENIERÍA,PROYECTOS DE INGENIERÍA II,NO PRESENCIAL,2
52,NOVENO CICLO,C0772,ÉTICA,FILOSOFÍA/150 CRÉDITOS,NO PRESENCIAL,2
53,NOVENO CICLO,C8269,TESIS 1,150 CRÉDITOS APROBADOS,PRESENCIAL,5
54,NOVENO CICLO,C8428,INGLÉS 4,INGLÉS III,PRESENCIAL,2
55,NOVENO CICLO,C8291,DESARROLLO DE SISTEMAS MÓVILES,INGENIERÍA DE SOFTWARE,PRESENCIAL,4
56,NOVENO CICLO,C8458,ASIGNATURA ELECTIVA IV,NINGUNO,PRESENCIAL,3
57,NOVENO CICLO,C8432,ACTIVIDAD COMPLEMENTARIA III,NINGUNO,PRESENCIAL,1
58,DECIMO CICLO,C8272,NORMAS Y REGULACIONES EN INGENIERÍA,DISEÑO DE NEGOCIOS EN INGENIERÍA ,NO PRESENCIAL,2
59,DECIMO CICLO,C8271,TESIS 2,TESIS I,PRESENCIAL,5
60,DECIMO CICLO,C8292,TEMAS AVANZADOS DE SEGURIDAD INFORMÁTICA,CRIPTOGRAFÍA Y SEGURIDAD INFORMÁTICA,PRESENCIAL,4
61,DECIMO CICLO,C8293,DERECHO INFORMÁTICO,150 CRÉDITOS APROBADOS,NO PRESENCIAL,2
62,DECIMO CICLO,C8467,ASIGNATURA ELECTIVA V,NINGUNO ,PRESENCIAL,3
63,DECIMO CICLO,C8466,ASIGNATURA ELECTIVA VI,NINGUNO,PRESENCIAL,3
64,DECIMO CICLO,C8433,ACTIVIDAD COMPLEMENTARIA IV,NINGUNO,PRESENCIAL,1
